iter	Passed	Remaining
1288	8080	4457
1289	8086	4450
1290	8092	4444
1291	8098	4437
1292	8103	4431
1293	8110	4424
1294	8116	4418
1295	8122	4412
1296	8128	4405
1297	8134	4399
1298	8140	4393
1299	8147	4386
1300	8153	4380
1301	8159	4374
1302	8167	4368
1303	8173	4362
1304	8178	4355
1305	8183	4348
1306	8188	4341
1307	8194	4335
1308	8199	4328
1309	8205	4321
1310	8211	4315
1311	8216	4308
1312	8222	4302
1313	8227	4295
1314	8233	4288
1315	8238	4281
1316	8243	4275
1317	8248	4268
1318	8253	4261
1319	8259	4254
1320	8264	4247
1321	8270	4241
1322	8276	4235
1323	8282	4228
1324	8288	4222
1325	8294	4215
1326	8299	4209
1327	8305	4203
1328	8311	4196
1329	8317	4190
1330	8322	4183
1331	8328	4176
1332	8333	4169
1333	8338	4163
1334	8344	4156
1335	8349	4149
1336	8354	4143
1337	8360	4136
1338	8365	4129
1339	8370	4122
1340	8376	4116
1341	8382	4109
1342	8387	4103
1343	8393	4096
1344	8398	4090
1345	8404	4083
1346	8409	4076
1347	8414	4070
1348	8420	4063
1349	8426	4057
1350	8432	4050
1351	8437	4044
1352	8443	4037
1353	8448	4030
1354	8454	4024
1355	8459	4017
1356	8465	4011
1357	8470	4004
1358	8476	3998
1359	8481	3991
1360	8487	3985
1361	8493	3978
1362	8499	3972
1363	8505	3965
1364	8510	3959
1365	8517	3953
1366	8523	3946
1367	8528	3940
1368	8535	3933
1369	8540	3927
1370	8545	3920
1371	8551	3914
1372	8557	3907
1373	8562	3901
1374	8567	3894
1375	8572	3887
1376	8577	3880
1377	8582	3873
1378	8586	3866
1379	8592	3860
1380	8597	3853
1381	8602	3847
1382	8608	3840
1383	8613	3833
1384	8618	3826
1385	8623	3820
1386	8628	3813
1387	8633	3806
1388	8639	3800
1389	8644	3793
1390	8649	3787
1391	8655	3780
1392	8660	3773
1393	8666	3767
1394	8671	3760
1395	8676	3754
1396	8682	3747
1397	8687	3740
1398	8693	3734
1399	8698	3727
1400	8703	3721
1401	8709	3714
1402	8715	3708
1403	8721	3702
1404	8727	3695
1405	8733	3689
1406	8738	3682
1407	8744	3676
1408	8749	3670
1409	8755	3663
1410	8760	3657
1411	8766	3650
1412	8772	3644
1413	8777	3637
1414	8783	3631
1415	8789	3624
1416	8794	3618
1417	8799	3611
1418	8804	3604
1419	8809	3598
1420	8814	3591
1421	8819	3584
1422	8824	3578
1423	8830	3571
1424	8835	3565
1425	8840	3558
1426	8845	3551
1427	8850	3545
1428	8856	3538
1429	8861	3532
1430	8867	3525
1431	8872	3519
1432	8877	3512
1433	8883	3506
1434	8888	3499
1435	8893	3493
1436	8898	3486
1437	8904	3479
1438	8909	3473
1439	8915	3466
1440	8920	3460
1441	8925	3453
1442	8931	3447
1443	8936	3441
1444	8941	3434
1445	8947	3427
1446	8952	3421
1447	8958	3415
1448	8963	3408
1449	8969	3402
1450	8974	3395
1451	8979	3389
